video_id,seat_id,is_error,run_length
video_0006_0_10_20251017105722_20251017111237,2,True,2
video_0006_0_10_20251017105722_20251017111237,2,True,4
video_0006_0_10_20251017105722_20251017111237,2,True,10
video_0006_0_10_20251017105722_20251017111237,2,True,1
video_0006_0_10_20251017105722_20251017111237,2,True,2
video_0006_0_10_20251017105722_20251017111237,2,True,1
video_0006_0_10_20251017105722_20251017111237,11,True,2
video_0007_0_10_20251014102214_20251014104108,0,True,1
video_0007_0_10_20251014102214_20251014104108,0,True,7
video_0007_0_10_20251014102214_20251014104108,0,True,1
video_0007_0_10_20251014102214_20251014104108,0,True,1
video_0007_0_10_20251014102214_20251014104108,0,True,1
video_0007_0_10_20251014102214_20251014104108,0,True,1
video_0007_0_10_20251014102214_20251014104108,0,True,1
video_0007_0_10_20251014102214_20251014104108,0,True,6
video_0007_0_10_20251014102214_20251014104108,0,True,18
video_0007_0_10_20251014102214_20251014104108,0,True,5
video_0007_0_10_20251014102214_20251014104108,0,True,1
video_0007_0_10_20251014102214_20251014104108,0,True,9
video_0007_0_10_20251014102214_20251014104108,0,True,5
video_0007_0_10_20251014102214_20251014104108,0,True,3
video_0007_0_10_20251014102214_20251014104108,0,True,1
video_0007_0_10_20251014102214_20251014104108,0,True,2
video_0007_0_10_20251014102214_20251014104108,0,True,5
video_0007_0_10_20251014102214_20251014104108,0,True,2
video_0007_0_10_20251014102214_20251014104108,0,True,2
video_0007_0_10_20251014102214_20251014104108,0,True,2
video_0007_0_10_20251014102214_20251014104108,0,True,1
video_0007_0_10_20251014102214_20251014104108,0,True,2
video_0007_0_10_20251014102214_20251014104108,0,True,1
video_0007_0_10_20251014102214_20251014104108,0,True,1
video_0007_0_10_20251014102214_20251014104108,0,True,1
video_0007_0_10_20251014102214_20251014104108,0,True,2
video_0007_0_10_20251014102214_20251014104108,0,True,6
video_0007_0_10_20251014102214_20251014104108,0,True,2
video_0007_0_10_20251014102214_20251014104108,0,True,7
video_0007_0_10_20251014102214_20251014104108,0,True,37
video_0007_0_10_20251014102214_20251014104108,0,True,1
video_0007_0_10_20251014102214_20251014104108,0,True,1
video_0007_0_10_20251014102214_20251014104108,0,True,1
video_0007_0_10_20251014102214_20251014104108,0,True,1
