coverage,n,accuracy,macro_f1,conf_threshold
1.0,661965,0.7392430113374574,0.4932263158809708,0.2007720172405243
0.9,595768,0.7750869465966618,0.5256722496632761,0.4574122726917267
0.75,496474,0.8207479142915842,0.5670902603670359,0.5664007663726807
0.5,330982,0.8799874313406771,0.6302781431116468,0.7395554780960083
0.25,165491,0.9351324241197406,0.6129698747983937,0.8888765573501587
0.1,66196,0.9628980603057586,0.4182052578251649,0.938630223274231
